Bus_ID,Route_Name,Distance_km,Traffic_Density,Weather,Is_Peak_Hour,Actual_Travel_Time,Is_Late
SRT-B-0740,T Nagar to Velachery (Chennai),7.53,2.0,Cloudy,0,33.1,0
SRT-B-0741,Banjara Hills to Ameerpet (Hyderabad),8.59,2.0,Rainy,0,48.63,0
SRT-B-0742,Station to Adajan (Surat),4.5,4.0,Sunny,1,41.0,0
SRT-B-0743,Vesu to Varachha (Surat),6.13,4.0,Cloudy,1,46.43,0
SRT-B-0744,Udhna to Pal (Surat),4.69,9.0,Rainy,1,73.63,1
SRT-B-0745,Rander to Piplod (Surat),3.64,10.0,Rainy,0,64.13,1
SRT-B-0746,Shivaji Nagar to Hinjewadi (Pune),7.35,8.0,Rainy,1,78.5,1
SRT-B-0747,Navrangpura to Maninagar (Ahmedabad),1.22,5.0,Sunny,0,24.07,0
SRT-B-0748,Alambagh to Charbagh (Lucknow),8.09,10.0,Foggy,0,74.97,1
SRT-B-0749,Patna Junction to Kankarbagh (Patna),8.91,2.0,,0,45.7,0
SRT-B-0750,Sector 17 to Mohali (Chandigarh),6.94,1.0,Cloudy,0,27.13,0
SRT-B-0751,Connaught Place to Karol Bagh (Delhi),0.68,3.0,Foggy,0,22.27,0
SRT-B-0752,Andheri East to Andheri West (Mumbai),3.47,2.0,Foggy,0,27.57,0
SRT-B-0753,Salt Lake to Esplanade (Kolkata),5.34,2.0,Cloudy,0,25.8,0
SRT-B-0754,MG Road to Whitefield (Bengaluru),2.05,4.0,Sunny,0,22.83,0
SRT-B-0755,T Nagar to Velachery (Chennai),2.3,9.0,Sunny,1,53.67,0
SRT-B-0756,Banjara Hills to Ameerpet (Hyderabad),1.67,8.0,Sunny,1,47.57,0
SRT-B-0757,Station to Adajan (Surat),5.4,8.0,,0,50.0,0
SRT-B-0758,Vesu to Varachha (Surat),6.93,3.0,Sunny,0,35.1,0
SRT-B-0759,Udhna to Pal (Surat),,10.0,Rainy,0,79.23,1
SRT-B-0760,Rander to Piplod (Surat),7.11,10.0,Rainy,0,75.7,1
SRT-B-0761,Shivaji Nagar to Hinjewadi (Pune),,8.0,Sunny,0,39.2,0
SRT-B-0762,Navrangpura to Maninagar (Ahmedabad),7.75,9.0,Sunny,0,61.83,1
SRT-B-0763,Alambagh to Charbagh (Lucknow),,1.0,Sunny,1,40.53,0
SRT-B-0764,Patna Junction to Kankarbagh (Patna),7.59,4.0,Cloudy,1,51.3,0
SRT-B-0765,Sector 17 to Mohali (Chandigarh),6.03,3.0,Cloudy,0,32.1,0
SRT-B-0766,Connaught Place to Karol Bagh (Delhi),,4.0,Sunny,0,18.63,0
SRT-B-0767,Andheri East to Andheri West (Mumbai),1.5,9.0,Sunny,0,41.0,0
SRT-B-0768,Salt Lake to Esplanade (Kolkata),4.89,5.0,Rainy,0,48.3,0
SRT-B-0769,MG Road to Whitefield (Bengaluru),2.15,5.0,Sunny,0,27.17,0
SRT-B-0770,T Nagar to Velachery (Chennai),0.41,4.0,Foggy,0,25.37,0
SRT-B-0771,Banjara Hills to Ameerpet (Hyderabad),6.1,9.0,Rainy,0,68.33,1
SRT-B-0772,Station to Adajan (Surat),3.01,5.0,Rainy,1,52.03,0
SRT-B-0773,Vesu to Varachha (Surat),1.96,6.0,Sunny,0,30.53,0
SRT-B-0774,Udhna to Pal (Surat),6.96,6.0,Cloudy,1,171.60000000000002,1
SRT-B-0775,Rander to Piplod (Surat),1.07,10.0,Rainy,0,55.57,0
SRT-B-0776,Shivaji Nagar to Hinjewadi (Pune),7.11,9.0,Sunny,1,69.7,1
SRT-B-0777,Navrangpura to Maninagar (Ahmedabad),4.54,1.0,Cloudy,0,95.64999999999999,1
SRT-B-0778,Alambagh to Charbagh (Lucknow),6.54,5.0,Cloudy,1,51.8,0
SRT-B-0779,Patna Junction to Kankarbagh (Patna),6.49,3.0,Sunny,1,43.63,0
SRT-B-0780,Sector 17 to Mohali (Chandigarh),7.52,8.0,,0,57.07,0
SRT-B-0781,Connaught Place to Karol Bagh (Delhi),7.31,7.0,Sunny,1,62.37,1
SRT-B-0782,Andheri East to Andheri West (Mumbai),3.36,2.0,Rainy,0,31.2,0
SRT-B-0783,Salt Lake to Esplanade (Kolkata),3.37,6.0,Cloudy,0,35.23,0
SRT-B-0784,MG Road to Whitefield (Bengaluru),1.42,1.0,Rainy,0,20.73,0
SRT-B-0785,T Nagar to Velachery (Chennai),8.54,1.0,Sunny,0,32.47,0
SRT-B-0786,Banjara Hills to Ameerpet (Hyderabad),4.76,4.0,Sunny,0,31.87,0
SRT-B-0787,Station to Adajan (Surat),7.62,8.0,Rainy,1,79.4,1
SRT-B-0788,Vesu to Varachha (Surat),7.65,7.0,Sunny,1,63.5,1
SRT-B-0789,Udhna to Pal (Surat),,9.0,Cloudy,0,60.77,1
SRT-B-0790,Rander to Piplod (Surat),4.09,5.0,Rainy,1,55.63,0
SRT-B-0791,Shivaji Nagar to Hinjewadi (Pune),1.94,,Foggy,0,26.47,0
SRT-B-0792,Navrangpura to Maninagar (Ahmedabad),7.96,9.0,Sunny,0,62.53,1
SRT-B-0793,Alambagh to Charbagh (Lucknow),2.89,8.0,Rainy,0,53.63,0
SRT-B-0794,Patna Junction to Kankarbagh (Patna),1.01,8.0,Foggy,1,53.37,0
SRT-B-0795,Sector 17 to Mohali (Chandigarh),8.84,3.0,Sunny,1,51.47,0
SRT-B-0796,Connaught Place to Karol Bagh (Delhi),0.85,1.0,Sunny,0,6.83,0
SRT-B-0797,Andheri East to Andheri West (Mumbai),2.05,1.0,Foggy,0,18.83,0
SRT-B-0798,Salt Lake to Esplanade (Kolkata),45.0,5.0,Sunny,1,56.5,0
SRT-B-0799,MG Road to Whitefield (Bengaluru),,9.0,Cloudy,0,45.53,0
SRT-B-0800,T Nagar to Velachery (Chennai),0.89,7.0,Foggy,1,48.97,0
SRT-B-0801,Banjara Hills to Ameerpet (Hyderabad),,7.0,Sunny,0,48.57,0
SRT-B-0802,Station to Adajan (Surat),6.86,8.0,Foggy,0,62.87,1
SRT-B-0803,Vesu to Varachha (Surat),8.49,9.0,Foggy,0,72.3,1
SRT-B-0804,Udhna to Pal (Surat),4.86,1.0,Sunny,0,20.2,0
SRT-B-0805,Rander to Piplod (Surat),8.82,9.0,,1,87.4,1
SRT-B-0806,Shivaji Nagar to Hinjewadi (Pune),4.04,1.0,Sunny,0,17.47,0
SRT-B-0807,Navrangpura to Maninagar (Ahmedabad),2.17,9.0,Rainy,1,65.23,1
SRT-B-0808,Alambagh to Charbagh (Lucknow),45.0,,Foggy,1,59.1,0
SRT-B-0809,Patna Junction to Kankarbagh (Patna),1.06,6.0,Sunny,0,27.53,0
SRT-B-0810,Sector 17 to Mohali (Chandigarh),6.38,,Cloudy,1,43.27,0
SRT-B-0811,Connaught Place to Karol Bagh (Delhi),2.7,2.0,Rainy,0,29.0,0
SRT-B-0812,Andheri East to Andheri West (Mumbai),5.25,9.0,Rainy,1,75.5,1
SRT-B-0813,Salt Lake to Esplanade (Kolkata),3.09,4.0,Sunny,0,26.3,0
SRT-B-0814,MG Road to Whitefield (Bengaluru),1.9,3.0,Sunny,0,18.33,0
SRT-B-0815,T Nagar to Velachery (Chennai),8.52,6.0,Foggy,0,60.4,1
SRT-B-0816,Banjara Hills to Ameerpet (Hyderabad),7.04,4.0,Rainy,1,-20.0,0
SRT-B-0817,Station to Adajan (Surat),3.91,1.0,Sunny,1,27.03,0
SRT-B-0818,Vesu to Varachha (Surat),5.06,3.0,Foggy,0,36.87,0
SRT-B-0819,Udhna to Pal (Surat),7.62,10.0,Rainy,0,77.4,1
SRT-B-0820,Rander to Piplod (Surat),6.12,10.0,Sunny,0,60.4,1
SRT-B-0821,Shivaji Nagar to Hinjewadi (Pune),1.2,5.0,Foggy,0,32.0,0
SRT-B-0822,Navrangpura to Maninagar (Ahmedabad),2.62,9.0,Sunny,1,54.73,0
SRT-B-0823,Alambagh to Charbagh (Lucknow),2.37,9.0,Cloudy,1,53.9,0
SRT-B-0824,Patna Junction to Kankarbagh (Patna),2.15,7.0,Sunny,1,45.17,0
SRT-B-0825,Sector 17 to Mohali (Chandigarh),6.75,1.0,Sunny,0,26.5,0
SRT-B-0826,Connaught Place to Karol Bagh (Delhi),2.53,8.0,Sunny,0,40.43,0
SRT-B-0827,Andheri East to Andheri West (Mumbai),2.25,1.0,Cloudy,0,11.5,0
SRT-B-0828,Salt Lake to Esplanade (Kolkata),8.58,10.0,Rainy,0,80.6,1
SRT-B-0829,MG Road to Whitefield (Bengaluru),4.64,8.0,Sunny,1,57.47,0
SRT-B-0830,T Nagar to Velachery (Chennai),6.79,8.0,Foggy,0,62.63,1
SRT-B-0831,Banjara Hills to Ameerpet (Hyderabad),7.03,1.0,Foggy,0,35.43,0
SRT-B-0832,Station to Adajan (Surat),5.03,1.0,Rainy,1,213.85000000000002,1
SRT-B-0833,Vesu to Varachha (Surat),7.79,2.0,Rainy,0,45.97,0
SRT-B-0834,Udhna to Pal (Surat),5.82,6.0,Sunny,0,43.4,0
SRT-B-0835,Rander to Piplod (Surat),5.98,5.0,Rainy,0,51.93,0
SRT-B-0836,Shivaji Nagar to Hinjewadi (Pune),4.7,10.0,Sunny,0,55.67,0
SRT-B-0837,Navrangpura to Maninagar (Ahmedabad),4.72,6.0,,0,119.19,1
SRT-B-0838,Alambagh to Charbagh (Lucknow),2.82,3.0,Sunny,1,31.4,0
SRT-B-0839,Patna Junction to Kankarbagh (Patna),2.64,6.0,Sunny,0,32.8,0
SRT-B-0840,Sector 17 to Mohali (Chandigarh),7.16,5.0,Rainy,1,65.87,1
SRT-B-0841,Connaught Place to Karol Bagh (Delhi),7.51,3.0,,0,37.03,0
SRT-B-0842,Andheri East to Andheri West (Mumbai),3.06,8.0,Cloudy,0,42.2,0
SRT-B-0843,Salt Lake to Esplanade (Kolkata),6.79,10.0,Rainy,1,84.63,1
SRT-B-0844,MG Road to Whitefield (Bengaluru),3.05,7.0,,0,46.17,0
SRT-B-0845,T Nagar to Velachery (Chennai),3.45,10.0,Sunny,0,51.5,0
SRT-B-0846,Banjara Hills to Ameerpet (Hyderabad),3.14,9.0,Sunny,1,56.47,0
SRT-B-0847,Station to Adajan (Surat),3.4,9.0,Rainy,1,69.33,1
SRT-B-0848,Vesu to Varachha (Surat),7.61,7.0,Cloudy,0,53.37,0
SRT-B-0849,Udhna to Pal (Surat),0.51,9.0,Sunny,1,47.7,0
SRT-B-0850,Rander to Piplod (Surat),1.94,4.0,Sunny,0,22.47,0
SRT-B-0851,Shivaji Nagar to Hinjewadi (Pune),1.82,8.0,Rainy,0,50.07,0
SRT-B-0852,Navrangpura to Maninagar (Ahmedabad),7.19,6.0,Cloudy,0,47.97,0
SRT-B-0853,Alambagh to Charbagh (Lucknow),3.96,10.0,Rainy,0,65.2,1
SRT-B-0854,Patna Junction to Kankarbagh (Patna),,,Sunny,0,31.53,0
SRT-B-0855,Sector 17 to Mohali (Chandigarh),5.63,7.0,Sunny,0,46.77,0
SRT-B-0856,Connaught Place to Karol Bagh (Delhi),2.41,8.0,Cloudy,0,40.03,0
SRT-B-0857,Andheri East to Andheri West (Mumbai),3.98,1.0,Cloudy,1,27.27,0
SRT-B-0858,Salt Lake to Esplanade (Kolkata),6.44,,Sunny,0,25.47,0
SRT-B-0859,MG Road to Whitefield (Bengaluru),5.1,1.0,Cloudy,0,21.0,0
SRT-B-0860,T Nagar to Velachery (Chennai),1.39,1.0,Cloudy,1,18.63,0
SRT-B-0861,Banjara Hills to Ameerpet (Hyderabad),4.18,8.0,Cloudy,0,45.93,0
SRT-B-0862,Station to Adajan (Surat),3.77,1.0,Cloudy,1,26.57,0
SRT-B-0863,Vesu to Varachha (Surat),8.58,1.0,Sunny,1,42.6,0
SRT-B-0864,Udhna to Pal (Surat),0.99,3.0,Cloudy,1,25.3,0
SRT-B-0865,Rander to Piplod (Surat),6.32,9.0,Rainy,1,79.07,1
SRT-B-0866,Shivaji Nagar to Hinjewadi (Pune),6.87,9.0,Rainy,0,70.9,1
SRT-B-0867,Navrangpura to Maninagar (Ahmedabad),1.5,6.0,Rainy,0,41.0,0
SRT-B-0868,Alambagh to Charbagh (Lucknow),1.98,2.0,Sunny,0,-20.0,0
SRT-B-0869,Patna Junction to Kankarbagh (Patna),,9.0,Rainy,1,59.7,0
SRT-B-0870,Sector 17 to Mohali (Chandigarh),2.15,8.0,Rainy,0,51.17,0
SRT-B-0871,Connaught Place to Karol Bagh (Delhi),5.06,4.0,Rainy,0,44.87,0
SRT-B-0872,Andheri East to Andheri West (Mumbai),8.84,2.0,Sunny,1,47.47,0
SRT-B-0873,Salt Lake to Esplanade (Kolkata),4.13,10.0,Sunny,0,53.77,0
SRT-B-0874,MG Road to Whitefield (Bengaluru),3.41,8.0,Sunny,0,43.37,0
SRT-B-0875,T Nagar to Velachery (Chennai),4.39,4.0,Sunny,0,91.89,1
SRT-B-0876,Banjara Hills to Ameerpet (Hyderabad),,2.0,Cloudy,0,35.97,0
SRT-B-0877,Station to Adajan (Surat),0.45,2.0,Rainy,0,21.5,0
SRT-B-0878,Vesu to Varachha (Surat),0.97,8.0,Sunny,0,35.23,0
SRT-B-0879,Udhna to Pal (Surat),4.88,7.0,Cloudy,1,54.27,0
SRT-B-0880,Rander to Piplod (Surat),0.53,,Cloudy,1,71.31,1
SRT-B-0881,Shivaji Nagar to Hinjewadi (Pune),1.86,9.0,,0,42.2,0
SRT-B-0882,Navrangpura to Maninagar (Ahmedabad),1.76,7.0,Cloudy,0,33.87,0
SRT-B-0883,Alambagh to Charbagh (Lucknow),7.06,10.0,Cloudy,1,73.53,1
SRT-B-0884,Patna Junction to Kankarbagh (Patna),1.75,10.0,Sunny,1,55.83,0
SRT-B-0885,Sector 17 to Mohali (Chandigarh),3.72,8.0,Sunny,0,44.4,0
SRT-B-0886,Connaught Place to Karol Bagh (Delhi),2.25,10.0,Cloudy,0,47.5,0
SRT-B-0887,Andheri East to Andheri West (Mumbai),,2.0,Sunny,0,11.53,0
SRT-B-0888,Salt Lake to Esplanade (Kolkata),4.28,1.0,Sunny,1,28.27,0
SRT-B-0889,MG Road to Whitefield (Bengaluru),2.67,6.0,Rainy,0,44.9,0
SRT-B-0890,T Nagar to Velachery (Chennai),4.95,,Cloudy,0,36.5,0
SRT-B-0891,Banjara Hills to Ameerpet (Hyderabad),5.52,6.0,Sunny,1,52.4,0
SRT-B-0892,Station to Adajan (Surat),7.47,7.0,Foggy,1,70.9,1
SRT-B-0893,Vesu to Varachha (Surat),7.05,4.0,Sunny,0,39.5,0
SRT-B-0894,Udhna to Pal (Surat),0.67,6.0,Sunny,1,36.23,0
SRT-B-0895,Rander to Piplod (Surat),2.49,5.0,Cloudy,1,38.3,0
SRT-B-0896,Shivaji Nagar to Hinjewadi (Pune),7.14,9.0,Rainy,1,81.8,1
SRT-B-0897,Navrangpura to Maninagar (Ahmedabad),3.2,7.0,Foggy,1,56.67,0
SRT-B-0898,Alambagh to Charbagh (Lucknow),7.67,,Cloudy,0,29.57,0
SRT-B-0899,Patna Junction to Kankarbagh (Patna),1.22,4.0,Foggy,1,38.07,0
SRT-B-0900,Sector 17 to Mohali (Chandigarh),7.29,10.0,Sunny,0,64.3,1
SRT-B-0901,Connaught Place to Karol Bagh (Delhi),5.31,1.0,Foggy,1,39.7,0
SRT-B-0902,Andheri East to Andheri West (Mumbai),7.7,6.0,Cloudy,0,-20.0,0
SRT-B-0903,Salt Lake to Esplanade (Kolkata),6.03,3.0,Sunny,0,32.1,0
SRT-B-0904,MG Road to Whitefield (Bengaluru),8.28,1.0,Rainy,0,43.6,0
SRT-B-0905,T Nagar to Velachery (Chennai),7.6,10.0,Cloudy,1,75.33,1
SRT-B-0906,Banjara Hills to Ameerpet (Hyderabad),7.83,10.0,Sunny,0,66.1,1
SRT-B-0907,Station to Adajan (Surat),5.89,3.0,Sunny,1,41.63,0
SRT-B-0908,Vesu to Varachha (Surat),3.75,4.0,Cloudy,1,38.5,0
SRT-B-0909,Udhna to Pal (Surat),3.66,2.0,Sunny,0,20.2,0
SRT-B-0910,Rander to Piplod (Surat),2.22,3.0,Sunny,0,19.4,0
SRT-B-0911,Shivaji Nagar to Hinjewadi (Pune),7.8,10.0,Rainy,0,78.0,1
SRT-B-0912,Navrangpura to Maninagar (Ahmedabad),0.86,2.0,Sunny,1,20.87,0
SRT-B-0913,Alambagh to Charbagh (Lucknow),1.35,5.0,Cloudy,0,24.5,0
SRT-B-0914,Patna Junction to Kankarbagh (Patna),5.94,9.0,Cloudy,0,55.8,0
SRT-B-0915,Sector 17 to Mohali (Chandigarh),1.74,7.0,Cloudy,0,33.8,0
SRT-B-0916,Connaught Place to Karol Bagh (Delhi),6.46,6.0,Cloudy,0,45.53,0
SRT-B-0917,Andheri East to Andheri West (Mumbai),8.56,2.0,Sunny,1,46.53,0
SRT-B-0918,Salt Lake to Esplanade (Kolkata),5.64,8.0,Rainy,1,72.8,1
SRT-B-0919,MG Road to Whitefield (Bengaluru),5.01,8.0,Foggy,1,66.7,1
SRT-B-0920,T Nagar to Velachery (Chennai),,1.0,Sunny,1,32.1,0
SRT-B-0921,Banjara Hills to Ameerpet (Hyderabad),5.42,8.0,Sunny,0,50.07,0
SRT-B-0922,Station to Adajan (Surat),6.44,,Sunny,1,63.47,1
SRT-B-0923,Vesu to Varachha (Surat),5.7,7.0,Rainy,1,69.0,1
SRT-B-0924,Udhna to Pal (Surat),2.22,8.0,Sunny,1,49.4,0
SRT-B-0925,Rander to Piplod (Surat),2.86,9.0,Foggy,0,53.53,0
SRT-B-0926,Shivaji Nagar to Hinjewadi (Pune),8.12,7.0,Cloudy,1,65.07,1
SRT-B-0927,Navrangpura to Maninagar (Ahmedabad),7.07,4.0,Sunny,0,39.57,0
SRT-B-0928,Alambagh to Charbagh (Lucknow),3.81,1.0,Rainy,1,38.7,0
SRT-B-0929,Patna Junction to Kankarbagh (Patna),1.13,2.0,Sunny,0,11.77,0
SRT-B-0930,Sector 17 to Mohali (Chandigarh),2.37,4.0,Sunny,1,33.9,0
SRT-B-0931,Connaught Place to Karol Bagh (Delhi),1.04,5.0,Cloudy,1,33.47,0
SRT-B-0932,Andheri East to Andheri West (Mumbai),1.83,8.0,Sunny,0,38.1,0
SRT-B-0933,Salt Lake to Esplanade (Kolkata),7.27,8.0,Sunny,0,56.23,0
SRT-B-0934,MG Road to Whitefield (Bengaluru),7.51,1.0,Sunny,0,29.03,0
SRT-B-0935,T Nagar to Velachery (Chennai),8.79,10.0,Rainy,0,81.3,1
SRT-B-0936,Banjara Hills to Ameerpet (Hyderabad),3.35,8.0,Sunny,0,43.17,0
SRT-B-0937,Station to Adajan (Surat),4.57,7.0,,1,65.23,1
SRT-B-0938,Vesu to Varachha (Surat),1.74,6.0,Rainy,0,41.8,0
SRT-B-0939,Udhna to Pal (Surat),3.08,7.0,Sunny,0,38.27,0
SRT-B-0940,Rander to Piplod (Surat),3.04,9.0,Rainy,0,58.13,0
SRT-B-0941,Shivaji Nagar to Hinjewadi (Pune),3.53,6.0,Rainy,0,47.77,0
SRT-B-0942,Navrangpura to Maninagar (Ahmedabad),6.14,8.0,Cloudy,0,52.47,0
SRT-B-0943,Alambagh to Charbagh (Lucknow),0.79,7.0,Rainy,1,52.63,0
SRT-B-0944,Patna Junction to Kankarbagh (Patna),8.05,4.0,Sunny,0,42.83,0
SRT-B-0945,Sector 17 to Mohali (Chandigarh),4.45,9.0,Cloudy,0,50.83,0
SRT-B-0946,Connaught Place to Karol Bagh (Delhi),7.61,7.0,Sunny,1,63.37,1
SRT-B-0947,Andheri East to Andheri West (Mumbai),1.46,,Cloudy,1,42.87,0
SRT-B-0948,Salt Lake to Esplanade (Kolkata),1.48,1.0,Rainy,0,20.93,0
SRT-B-0949,MG Road to Whitefield (Bengaluru),6.73,10.0,Rainy,0,74.43,1
SRT-B-0950,T Nagar to Velachery (Chennai),8.74,8.0,Sunny,1,71.13,1
SRT-B-0951,Banjara Hills to Ameerpet (Hyderabad),1.61,6.0,Rainy,0,41.37,0
SRT-B-0952,Station to Adajan (Surat),7.75,3.0,Sunny,1,47.83,0
SRT-B-0953,Vesu to Varachha (Surat),2.86,6.0,Foggy,0,41.53,0
SRT-B-0954,Udhna to Pal (Surat),1.63,3.0,Foggy,1,35.43,0
SRT-B-0955,Rander to Piplod (Surat),3.3,5.0,Sunny,1,41.0,0
SRT-B-0956,Shivaji Nagar to Hinjewadi (Pune),2.3,5.0,Rainy,0,39.67,0
SRT-B-0957,Navrangpura to Maninagar (Ahmedabad),2.66,10.0,Rainy,1,70.87,1
SRT-B-0958,Alambagh to Charbagh (Lucknow),6.85,6.0,Sunny,0,46.83,0
SRT-B-0959,Patna Junction to Kankarbagh (Patna),2.12,8.0,Cloudy,1,49.07,0
SRT-B-0960,Sector 17 to Mohali (Chandigarh),0.74,8.0,Sunny,0,34.47,0
SRT-B-0961,Connaught Place to Karol Bagh (Delhi),8.21,7.0,Sunny,1,65.37,1
SRT-B-0962,Andheri East to Andheri West (Mumbai),6.44,7.0,,0,49.47,0
SRT-B-0963,Salt Lake to Esplanade (Kolkata),5.53,7.0,Foggy,0,54.43,0
SRT-B-0964,MG Road to Whitefield (Bengaluru),,2.0,Sunny,0,29.63,0
SRT-B-0965,T Nagar to Velachery (Chennai),2.16,7.0,Cloudy,0,35.2,0
SRT-B-0966,Banjara Hills to Ameerpet (Hyderabad),,4.0,Cloudy,0,36.53,0
SRT-B-0967,Station to Adajan (Surat),0.83,4.0,Sunny,1,28.77,0
SRT-B-0968,Vesu to Varachha (Surat),8.38,1.0,Rainy,1,53.93,0
SRT-B-0969,Udhna to Pal (Surat),2.25,1.0,Rainy,1,33.5,0
SRT-B-0970,Rander to Piplod (Surat),2.03,1.0,Cloudy,0,10.77,0
SRT-B-0971,Shivaji Nagar to Hinjewadi (Pune),0.88,7.0,Sunny,1,40.93,0
SRT-B-0972,Navrangpura to Maninagar (Ahmedabad),2.44,5.0,,1,38.13,0
SRT-B-0973,Alambagh to Charbagh (Lucknow),3.73,2.0,Sunny,1,30.43,0
SRT-B-0974,Patna Junction to Kankarbagh (Patna),4.11,,Rainy,0,57.7,0
SRT-B-0975,Sector 17 to Mohali (Chandigarh),3.37,1.0,Sunny,0,15.23,0
SRT-B-0976,Connaught Place to Karol Bagh (Delhi),0.76,7.0,Sunny,1,40.53,0
SRT-B-0977,Andheri East to Andheri West (Mumbai),6.24,6.0,Sunny,1,54.8,0
SRT-B-0978,Salt Lake to Esplanade (Kolkata),5.56,4.0,Rainy,0,46.53,0
SRT-B-0979,MG Road to Whitefield (Bengaluru),2.82,10.0,Cloudy,1,59.4,0
SRT-B-0980,T Nagar to Velachery (Chennai),5.07,4.0,,1,42.9,0
SRT-B-0981,Banjara Hills to Ameerpet (Hyderabad),3.08,,Sunny,0,22.27,0
SRT-B-0982,Station to Adajan (Surat),7.71,,Sunny,1,75.7,1
SRT-B-0983,Vesu to Varachha (Surat),8.45,8.0,Foggy,0,68.17,1
SRT-B-0984,Udhna to Pal (Surat),2.11,9.0,Sunny,1,53.03,0
SRT-B-0985,Rander to Piplod (Surat),2.75,7.0,Foggy,0,45.17,0
SRT-B-0986,Shivaji Nagar to Hinjewadi (Pune),,10.0,Sunny,0,55.7,0
SRT-B-0987,Navrangpura to Maninagar (Ahmedabad),8.18,4.0,Rainy,0,55.27,0
SRT-B-0988,Alambagh to Charbagh (Lucknow),8.18,5.0,Sunny,1,57.27,0
SRT-B-0989,Patna Junction to Kankarbagh (Patna),7.14,3.0,Sunny,1,45.8,0
SRT-B-0990,Sector 17 to Mohali (Chandigarh),3.94,2.0,Rainy,0,99.39000000000001,1
SRT-B-0991,Connaught Place to Karol Bagh (Delhi),6.91,4.0,Sunny,1,49.03,0
SRT-B-0992,Andheri East to Andheri West (Mumbai),2.74,9.0,Rainy,1,67.13,1
SRT-B-0993,Salt Lake to Esplanade (Kolkata),5.59,4.0,Rainy,0,46.63,0
SRT-B-0994,MG Road to Whitefield (Bengaluru),6.72,1.0,Sunny,1,36.4,0
SRT-B-0995,T Nagar to Velachery (Chennai),8.57,4.0,Rainy,1,66.57,1
SRT-B-0996,Banjara Hills to Ameerpet (Hyderabad),5.42,10.0,Cloudy,1,68.07,1
SRT-B-0997,Station to Adajan (Surat),3.36,,Cloudy,1,49.2,0
SRT-B-0998,Vesu to Varachha (Surat),7.46,6.0,Cloudy,1,58.87,0
SRT-B-0999,Udhna to Pal (Surat),3.93,10.0,Sunny,0,53.1,0
SRT-B-1000,Rander to Piplod (Surat),7.51,5.0,Sunny,0,45.03,0
SRT-B-1001,Shivaji Nagar to Hinjewadi (Pune),3.51,6.0,Sunny,0,178.5,1
SRT-B-1002,Navrangpura to Maninagar (Ahmedabad),5.52,1.0,Cloudy,1,32.4,0
SRT-B-1003,Alambagh to Charbagh (Lucknow),7.83,7.0,Sunny,0,54.1,0
SRT-B-1004,Patna Junction to Kankarbagh (Patna),2.95,6.0,Sunny,1,43.83,0
SRT-B-1005,Sector 17 to Mohali (Chandigarh),0.67,10.0,Sunny,0,42.23,0
SRT-B-1006,Connaught Place to Karol Bagh (Delhi),0.83,4.0,Sunny,0,18.77,0
SRT-B-1007,Andheri East to Andheri West (Mumbai),2.28,5.0,Cloudy,0,27.6,0
SRT-B-1008,Salt Lake to Esplanade (Kolkata),5.37,6.0,Rainy,1,63.9,1
SRT-B-1009,MG Road to Whitefield (Bengaluru),1.06,3.0,Sunny,0,15.53,0
SRT-B-1010,T Nagar to Velachery (Chennai),7.33,1.0,Cloudy,0,28.43,0
SRT-B-1011,Banjara Hills to Ameerpet (Hyderabad),7.58,6.0,Cloudy,0,49.27,0
SRT-B-1012,Station to Adajan (Surat),1.6,6.0,Rainy,1,51.33,0
SRT-B-1013,Vesu to Varachha (Surat),2.77,8.0,,0,49.23,0
SRT-B-1014,Udhna to Pal (Surat),8.43,1.0,Sunny,1,42.1,0
SRT-B-1015,Rander to Piplod (Surat),8.46,10.0,Sunny,0,68.2,1
SRT-B-1016,Shivaji Nagar to Hinjewadi (Pune),6.05,2.0,Sunny,1,38.17,0
SRT-B-1017,Navrangpura to Maninagar (Ahmedabad),,7.0,,0,53.57,0
SRT-B-1018,Alambagh to Charbagh (Lucknow),5.67,3.0,Sunny,0,30.9,0
SRT-B-1019,Patna Junction to Kankarbagh (Patna),5.14,10.0,Rainy,1,79.13,1
SRT-B-1020,Sector 17 to Mohali (Chandigarh),5.66,1.0,Rainy,1,44.87,0
SRT-B-1021,Connaught Place to Karol Bagh (Delhi),4.22,4.0,Sunny,1,40.07,0
SRT-B-1022,Andheri East to Andheri West (Mumbai),6.06,4.0,Cloudy,0,36.2,0
SRT-B-1023,Salt Lake to Esplanade (Kolkata),8.2,4.0,Sunny,0,43.33,0
SRT-B-1024,MG Road to Whitefield (Bengaluru),7.96,3.0,Sunny,0,38.53,0
SRT-B-1025,T Nagar to Velachery (Chennai),6.69,9.0,,1,68.3,1
SRT-B-1026,Banjara Hills to Ameerpet (Hyderabad),0.83,3.0,Sunny,0,14.77,0
SRT-B-1027,Station to Adajan (Surat),2.86,10.0,Sunny,0,49.53,0
SRT-B-1028,Vesu to Varachha (Surat),7.12,,Rainy,1,73.73,1
SRT-B-1029,Udhna to Pal (Surat),1.66,5.0,Sunny,1,35.53,0
SRT-B-1030,Rander to Piplod (Surat),2.44,4.0,,0,108.39000000000001,1
SRT-B-1031,Shivaji Nagar to Hinjewadi (Pune),4.13,8.0,Cloudy,0,45.77,0
SRT-B-1032,Navrangpura to Maninagar (Ahmedabad),8.15,6.0,Sunny,0,51.17,0
SRT-B-1033,Alambagh to Charbagh (Lucknow),2.74,1.0,Cloudy,0,13.13,0
