From,To,Operator,Distance,Duration,Bus Type,Departure,Arrival
Kishangadh,HimmatNagar,shrinath travel agency,494,0:11:0,Non A/c,02:30:00 PM,01:30:00 AM
Kishangadh,HimmatNagar,Gujarat Travels-,494,0:10:0,A/c,10:00:00 PM,08:00:00 AM
Kishangadh,Keshariyaji,Kalpana Travels Pvt.Ltd.,383,0:9:30,Non A/c,10:30:00 PM,08:00:00 AM
Kishangadh,Mahesana,Kalpana Travels Pvt.Ltd.,504,0:12:36,Non A/c,07:30:00 PM,08:06:00 AM
Kishangadh,Mahesana,Kalpana Travels Pvt.Ltd.,504,0:12:36,Non A/c,08:30:00 PM,09:06:00 AM
Kishangadh,Ajmer,Kalpana Travels Pvt.Ltd.,31,0:1:0,Non A/c,10:30:00 PM,11:30:00 PM
Kishangadh,Ajmer,Gujarat Travels-,31,0:1:30,A/c,07:00:00 PM,08:30:00 PM
Kishangadh,Ajmer,Gujarat Travels-,31,0:1:30,A/c,10:00:00 PM,11:30:00 PM
Kishangadh,Ajmer,Kalpana Travels Pvt.Ltd.,31,0:6:0,Non A/c,11:30:00 PM,05:30:00 AM
Kishangadh,Ajmer,shrinath travel agency,31,0:1:0,Non A/c,02:30:00 PM,03:30:00 PM
Kishangadh,Ajmer,Kalpana Travels Pvt.Ltd.,31,0:1:0,Non A/c,08:00:00 PM,09:00:00 PM
Kishangadh,Ajmer,Kalpana Travels Pvt.Ltd.,31,0:6:0,Non A/c,10:00:00 PM,04:00:00 AM
Kishangadh,Shamlaji,shrinath travel agency,444,0:8:0,Non A/c,02:30:00 PM,10:30:00 PM
Kishangadh,Bhim,shrinath travel agency,138,0:3:0,Non A/c,02:30:00 PM,05:30:00 PM
Kishangadh,Bhim,Kalpana Travels Pvt.Ltd.,138,0:2:30,Non A/c,10:30:00 PM,01:00:00 AM
Kishangadh,Nasirabad,Gujarat Travels-,35,0:2:0,A/c,07:00:00 PM,09:00:00 PM
Kishangadh,Nasirabad,Gujarat Travels-,35,0:2:0,A/c,10:00:00 PM,12:00:00 AM
Kishangadh,SojatCity,Kalpana Travels Pvt.Ltd.,180,0:4:30,Non A/c,11:30:00 PM,04:00:00 AM
Kishangadh,SojatCity,Kalpana Travels Pvt.Ltd.,160,0:4:0,Non A/c,10:30:00 PM,02:30:00 AM
Kishangadh,SojatCity,Kalpana Travels Pvt.Ltd.,160,0:4:0,Non A/c,10:00:00 PM,02:00:00 AM
Kishangadh,Unjha,Kalpana Travels Pvt.Ltd.,464,0:11:36,Non A/c,07:30:00 PM,07:06:00 AM
Kishangadh,Unjha,Kalpana Travels Pvt.Ltd.,464,0:11:36,Non A/c,08:30:00 PM,08:06:00 AM
Kishangadh,Udaipur,shrinath travel agency,280,0:7:0,Non A/c,02:30:00 PM,09:30:00 PM
Kishangadh,Udaipur,Kalpana Travels Pvt.Ltd.,360,0:9:0,Non A/c,10:30:00 PM,07:30:00 AM
Kishangadh,Udaipur,Kalpana Travels Pvt.Ltd.,340,0:8:30,Non A/c,10:00:00 PM,06:30:00 AM
Kishangadh,Udaipur,Gujarat Travels-,280,0:7:0,A/c,10:00:00 PM,05:00:00 AM
Kishangadh,Udaipur,Gujarat Travels-,280,0:7:0,A/c,07:00:00 PM,02:00:00 AM
Kishangadh,Rajkot,shrinath travel agency,743,0:17:30,Non A/c,02:30:00 PM,08:00:00 AM
Kishangadh,Jaipur,Gujarat Travels-BRAND NEW LCD COACH,103,0:2:0,A/c,05:35:00 AM,07:35:00 AM
Kishangadh,Jaipur,shree rishabh travels,103,0:2:30,Non A/c,09:00:00 PM,11:30:00 PM
Kishangadh,Bhilwara,Gujarat Travels-,148,0:4:0,A/c,10:00:00 PM,02:00:00 AM
Kishangadh,Bhilwara,Kalpana Travels Pvt.Ltd.,148,0:3:42,Non A/c,08:30:00 PM,12:12:00 AM
Kishangadh,Bhilwara,Gujarat Travels-,148,0:4:0,A/c,07:00:00 PM,11:00:00 PM
Kishangadh,Vijaynagar,Gujarat Travels-,130,0:3:15,A/c,07:00:00 PM,10:15:00 PM
Kishangadh,Vijaynagar,Gujarat Travels-,130,0:3:15,A/c,10:00:00 PM,01:15:00 AM
Kishangadh,Chotila,shrinath travel agency,699,0:16:0,Non A/c,02:30:00 PM,06:30:00 AM
Kishangadh,Chittor,Gujarat Travels-,206,0:5:30,A/c,10:00:00 PM,03:30:00 AM
Kishangadh,Chittor,Gujarat Travels-,206,0:5:30,A/c,07:00:00 PM,12:30:00 AM
Kishangadh,Pali,Kalpana Travels Pvt.Ltd.,200,0:5:0,Non A/c,10:00:00 PM,03:00:00 AM
Kishangadh,Pali,Kalpana Travels Pvt.Ltd.,220,0:5:30,Non A/c,10:30:00 PM,04:00:00 AM
Kishangadh,Pali,Kalpana Travels Pvt.Ltd.,220,0:5:30,Non A/c,11:30:00 PM,05:00:00 AM
Kishangadh,Palanpur,Kalpana Travels Pvt.Ltd.,419,0:10:29,Non A/c,08:30:00 PM,06:59:00 AM
Kishangadh,Palanpur,Kalpana Travels Pvt.Ltd.,419,0:10:29,Non A/c,07:30:00 PM,05:59:00 AM
Kishangadh,RajNagar,Kalpana Travels Pvt.Ltd.,692,1:6:30,Non A/c,10:30:00 PM,05:00:00 AM
Kishangadh,RajNagar,Kalpana Travels Pvt.Ltd.,692,1:6:30,Non A/c,10:00:00 PM,04:30:00 AM
Kishangadh,Pushkar,Kalpana Travels Pvt.Ltd.,43,0:1:30,Non A/c,08:00:00 PM,09:30:00 PM
Kishangadh,Nagore,Kalpana Travels Pvt.Ltd.,2241,1:5:30,Non A/c,08:00:00 PM,01:30:00 AM
Kishangadh,Sirohi,Kalpana Travels Pvt.Ltd.,330,0:8:0,Non A/c,10:00:00 PM,06:00:00 AM
Kishangadh,AbuRoad,Kalpana Travels Pvt.Ltd.,366,0:9:30,Non A/c,10:00:00 PM,07:30:00 AM
Kishangadh,AbuRoad,Kalpana Travels Pvt.Ltd.,366,0:9:9,Non A/c,08:30:00 PM,05:39:00 AM
Kishangadh,AbuRoad,Kalpana Travels Pvt.Ltd.,366,0:9:9,Non A/c,07:30:00 PM,04:39:00 AM
Neyyattinkara,Villupuram,Kallada Travels,588,0:14:42,Multiaxle B9R VOLVO A/C SEMI SLEEPER,08:00:00 PM,10:42:00 AM
Neyyattinkara,Krishnagiri,Kallada Travels,619,0:15:29,Multiaxle B9R VOLVO A/C SEMI SLEEPER,09:00:00 PM,12:29:00 PM
Neyyattinkara,Bangalore,Kallada Travels,709,0:17:44,Multiaxle B9R VOLVO A/C SEMI SLEEPER,09:00:00 PM,02:44:00 PM
Neyyattinkara,Chennai,Kallada Travels,748,0:18:42,Multiaxle B9R VOLVO A/C SEMI SLEEPER,08:00:00 PM,02:42:00 PM
Neyyattinkara,Dharmapuri,Kallada Travels,573,0:14:20,Multiaxle B9R VOLVO A/C SEMI SLEEPER,09:00:00 PM,11:20:00 AM
Neyyattinkara,Tindivanam,Kallada Travels,625,0:15:38,Multiaxle B9R VOLVO A/C SEMI SLEEPER,08:00:00 PM,11:38:00 AM
Neyyattinkara,Salem,Kallada Travels,513,0:12:50,Multiaxle B9R VOLVO A/C SEMI SLEEPER,09:00:00 PM,09:50:00 AM
Neyyattinkara,Chenkalpet,Kallada Travels,692,0:17:18,Multiaxle B9R VOLVO A/C SEMI SLEEPER,08:00:00 PM,01:18:00 PM
Neyyattinkara,Hosur,Kallada Travels,477,0:11:56,Multiaxle B9R VOLVO A/C SEMI SLEEPER,09:00:00 PM,08:56:00 AM
Udumalpet,Chennai,KPN Travels,493,0:10:15,2+2 S.S A/C : 31,08:45:00 PM,07:00:00 AM
Udumalpet,Chennai,ABT X Travels,493,0:12:20,2+2 A/c,08:45:00 PM,09:05:00 AM
Udumalpet,Chennai,SRM Transports India Private Limited,493,0:12:20,Sleeper,08:30:00 PM,08:50:00 AM
Udumalpet,Marthandam,KPN Travels,409,0:8:0,2+2 : NON A/C S.S 31,11:00:00 PM,07:00:00 AM
Udumalpet,Thiruchendur,SRM Transports India Private Limited,335,0:8:23,Semi Sleeper-A/C,11:00:00 PM,07:23:00 AM
Udumalpet,Hosur,KPN Travels,360,0:9:0,BERTH SLEEPER A/C : 29,08:30:00 PM,05:30:00 AM
Udumalpet,Hosur,KPN Travels,360,0:9:0,2+2 : 33 S.S NON A/C,08:00:00 PM,05:00:00 AM
Udumalpet,Nagercoil,KPN Travels,383,0:7:0,2+2 : NON A/C S.S 31,11:00:00 PM,06:00:00 AM
Udumalpet,Nagercoil,ABT X Travels,383,0:9:35,2+2 A/c,10:45:00 PM,08:20:00 AM
Udumalpet,Udangudi,SRM Transports India Private Limited,354,0:8:51,Semi Sleeper-A/C,11:00:00 PM,07:51:00 AM
Udumalpet,Bangalore,ABT X Travels,384,0:9:36,2+2 A/c,09:15:00 PM,06:51:00 AM
Udumalpet,Bangalore,KPN Travels,384,0:10:0,2+2 : 33 S.S NON A/C,08:00:00 PM,06:00:00 AM
Udumalpet,Bangalore,Srs Travels (SRS Travels),384,0:9:5,"2+1, Sleeper, Non-AC, Non-Video",08:40:00 PM,05:45:00 AM
Udumalpet,Bangalore,Srs Travels (SRS Travels),384,0:10:0,"2+1, Sleeper, Non-AC, Non-Video",08:00:00 PM,06:00:00 AM
Udumalpet,Tutucorin,SRM Transports India Private Limited,208,0:5:12,Semi Sleeper-A/C,11:00:00 PM,04:12:00 AM
Jangareddygudem,Hyderabad,Kaveri Kamakshi Travels,333,0:8:15,Hi-Tech Non A/c,10:45:00 PM,07:00:00 AM
Jangareddygudem,Hyderabad,Gowthami Travels,333,0:7:10,"2+2, Volvo Semi Sleeper, AC,",10:50:00 PM,06:00:00 AM
Akiveedu,Hyderabad,Kaveri Kamakshi Travels,375,0:8:50,Volvo Semi Sleeper,09:40:00 PM,06:30:00 AM
Akiveedu,Hyderabad,Dhanunjaya Tours,375,0:8:40,2+1 A/C Executive Class Semi Sleeper,09:50:00 PM,06:30:00 AM
Akiveedu,Hyderabad,Kaveri Kamakshi Travels,375,0:9:15,Hi-Tech Non A/c,09:15:00 PM,06:30:00 AM
Sonkhed,Loha,Amber Travels,20,0:0:30,Non A/c,09:00:00 PM,09:30:00 PM
Sonkhed,Loha,Amber Travels,20,0:0:30,A/c,09:30:00 PM,10:00:00 PM
Sonkhed,Parli,Amber Travels,80,0:2:0,A/c,09:30:00 PM,11:30:00 PM
Sonkhed,Parli,Amber Travels,80,0:2:0,Non A/c,09:00:00 PM,11:00:00 PM
Sonkhed,Palam,Amber Travels,40,0:1:0,A/c,09:30:00 PM,10:30:00 PM
Sonkhed,Palam,Amber Travels,40,0:1:0,Non A/c,09:00:00 PM,10:00:00 PM
Sonkhed,Ambajogai,Amber Travels,100,0:2:30,Non A/c,09:00:00 PM,11:30:00 PM
Sonkhed,GangaKhed,Amber Travels,60,0:1:30,A/c,09:30:00 PM,11:00:00 PM
Sonkhed,GangaKhed,Amber Travels,60,0:1:30,Non A/c,09:00:00 PM,10:30:00 PM
Erode (Sithode),Cochin,Kallada Travels,283,0:7:5,Multiaxle B9R VOLVO A/C SEMI SLEEPER,01:00:00 PM,08:05:00 PM
Erode (Sithode),Cochin,Kallada Travels,283,0:7:5,Multiaxle B9R VOLVO A/C SEMI SLEEPER,11:00:00 PM,06:05:00 AM
Erode (Sithode),Cochin,Kallada Travels,283,0:7:5,SEMI SLEEPER,10:15:00 PM,05:20:00 AM
Erode (Sithode),Cochin,Kallada Travels,283,0:7:5,Multiaxle B9R VOLVO A/C SEMI SLEEPER,06:00:00 PM,01:05:00 AM
Erode (Sithode),Cochin,Kallada Travels,283,0:7:5,Multiaxle B9R VOLVO A/C SEMI SLEEPER,05:00:00 AM,12:05:00 PM
Erode (Sithode),Thrissur,Kallada Travels,205,0:5:8,Multiaxle B9R VOLVO A/C SEMI SLEEPER,06:00:00 PM,11:08:00 PM
Erode (Sithode),Thrissur,Kallada Travels,205,0:5:8,Multiaxle B9R VOLVO A/C SEMI SLEEPER,05:00:00 AM,10:08:00 AM
Erode (Sithode),Thrissur,Kallada Travels,205,0:5:8,Multiaxle B9R VOLVO A/C SEMI SLEEPER,01:00:00 PM,06:08:00 PM
Erode (Sithode),Thrissur,Kallada Travels,205,0:5:8,Multiaxle B9R VOLVO A/C SEMI SLEEPER,11:00:00 PM,04:08:00 AM
Erode (Sithode),Angamaly,Kallada Travels,241,0:6:2,Multiaxle B9R VOLVO A/C SEMI SLEEPER,11:00:00 PM,05:02:00 AM
Erode (Sithode),Angamaly,Kallada Travels,241,0:6:2,Multiaxle B9R VOLVO A/C SEMI SLEEPER,01:00:00 PM,07:02:00 PM
Erode (Sithode),Angamaly,Kallada Travels,241,0:6:2,Multiaxle B9R VOLVO A/C SEMI SLEEPER,06:00:00 PM,12:02:00 AM
Erode,Tirupati,Kesineni,366,0:5:30,VOLVO-B9R (MULTI AXLE-SEMISLEEPER),06:15:00 PM,11:45:00 PM
Erode,Marthandam,KPN Travels,456,0:9:30,2+2 : 33 S.S NON A/C,10:00:00 PM,07:30:00 AM
Erode (Sithode),Trivandrum,Kallada Travels,480,0:12:0,Multiaxle B9R VOLVO A/C SEMI SLEEPER,11:00:00 PM,11:00:00 AM
Erode (Sithode),Trivandrum,Kallada Travels,480,0:12:0,Multiaxle B9R VOLVO A/C SEMI SLEEPER,06:00:00 PM,06:00:00 AM
Erode (Sithode),Trivandrum,Kallada Travels,480,0:12:0,SEMI SLEEPER,10:15:00 PM,10:15:00 AM
Erode,Virudhachalam,KPN Travels,200,0:5:0,2+1 : 31 A/C S.S,11:30:00 PM,04:30:00 AM
Erode (Sithode),Karunagapilly,Kallada Travels,388,0:9:42,Multiaxle B9R VOLVO A/C SEMI SLEEPER,06:00:00 PM,03:42:00 AM
Erode (Sithode),Karunagapilly,Kallada Travels,388,0:9:42,SEMI SLEEPER,10:15:00 PM,07:57:00 AM
Erode (Sithode),Karunagapilly,Kallada Travels,388,0:9:42,Multiaxle B9R VOLVO A/C SEMI SLEEPER,11:00:00 PM,08:42:00 AM
Erode (Sithode),Calicut,Kallada Travels,283,0:7:5,Multiaxle B9R VOLVO A/C SEMI SLEEPER,03:20:00 AM,10:25:00 AM
Erode,Hyderabad,KPN Travels,828,0:12:15,2+2 VOLVO A/C(MULTI AXLE) : 44,07:45:00 PM,08:00:00 AM
Erode,Hyderabad,KPN Travels,828,0:13:15,EXECUTIVE SLEEPER A/C(1+1): 24,05:15:00 PM,06:30:00 AM
Erode,Hyderabad,KPN Travels,828,0:13:15,2+2 VOLVO A/C(MULTI AXLE) : 44,05:45:00 PM,07:00:00 AM
Erode (Sithode),Hyderabad,Kallada Travels,828,0:20:42,Multiaxle B9R VOLVO A/C SEMI SLEEPER,08:00:00 PM,04:42:00 PM
Erode (Sithode),Kazhakoottam,Kallada Travels,463,0:11:35,SEMI SLEEPER,10:15:00 PM,09:50:00 AM
Erode (Sithode),Kazhakoottam,Kallada Travels,463,0:11:35,Multiaxle B9R VOLVO A/C SEMI SLEEPER,11:00:00 PM,10:35:00 AM
Erode (Sithode),Kazhakoottam,Kallada Travels,463,0:11:35,Multiaxle B9R VOLVO A/C SEMI SLEEPER,06:00:00 PM,05:35:00 AM
Erode (Sithode),Chalakudy,Kallada Travels,229,0:5:44,Multiaxle B9R VOLVO A/C SEMI SLEEPER,01:00:00 PM,06:44:00 PM
Erode (Sithode),Chalakudy,Kallada Travels,229,0:5:44,Multiaxle B9R VOLVO A/C SEMI SLEEPER,06:00:00 PM,11:44:00 PM
Erode (Sithode),Kalamassery,Kallada Travels,264,0:6:36,Multiaxle B9R VOLVO A/C SEMI SLEEPER,01:00:00 PM,07:36:00 PM
Erode (Sithode),Allappuzha,Kallada Travels,328,0:8:12,SEMI SLEEPER,10:15:00 PM,06:27:00 AM
Erode (Sithode),Allappuzha,Kallada Travels,328,0:8:12,Multiaxle B9R VOLVO A/C SEMI SLEEPER,11:00:00 PM,07:12:00 AM
Erode (Sithode),Allappuzha,Kallada Travels,328,0:8:12,Multiaxle B9R VOLVO A/C SEMI SLEEPER,06:00:00 PM,02:12:00 AM
Erode (Sithode),Anantapur,Kallada Travels,470,0:11:45,Multiaxle B9R VOLVO A/C SEMI SLEEPER,08:00:00 PM,07:45:00 AM
Erode,Neyveli,KPN Travels,119,0:5:30,2+1 : 31 A/C S.S,11:30:00 PM,05:00:00 AM
Erode,Chennai,SVL Travels,397,0:8:0,2+2 Hi Tech Air Bus,10:00:00 PM,06:00:00 AM
Erode,Chennai,PNK SRT Travels,397,0:7:45,2+2 HI-TECH Non A/c,10:30:00 PM,06:15:00 AM
Erode,Chennai,P S M Travels Kongu Express (PSM Travels),397,0:8:0,"2+2, Executive AirBus, Non-AC, Video",11:00:00 PM,07:00:00 AM
Erode,Chennai,SRM Transports India Private Limited,397,0:9:56,Semi Sleeper Non A/C,10:45:00 PM,08:41:00 AM
Erode,Chennai,PNK SRT Travels,397,0:7:0,2+1 Executive Sleeper Coach A/C,11:00:00 PM,06:00:00 AM
Erode (Sithode),Chennai,Kallada Travels,397,0:9:56,Multiaxle B9R VOLVO A/C SEMI SLEEPER,01:00:00 AM,10:56:00 AM
Erode,Bangalore,Srs Travels (SRS Travels),260,0:6:30,"2+1, Sleeper, Non-AC, Non-Video",11:15:00 PM,05:45:00 AM
Erode,Bangalore,Sachin Travels,260,0:5:15,"2+1, Semi Sleeper, Non-AC, Video",10:45:00 PM,04:00:00 AM
Erode,Bangalore,KPN Travels,260,0:4:30,2+2 VOLVO A/C(MULTI AXLE) : 44,09:30:00 AM,02:00:00 PM
Erode (Sithode),Bangalore,Kallada Travels,260,0:6:30,Multiaxle B9R VOLVO A/C SEMI SLEEPER,04:30:00 PM,11:00:00 PM
Erode (Sithode),Bangalore,Kallada Travels,260,0:6:30,Multiaxle B9R VOLVO A/C SEMI SLEEPER,08:00:00 AM,02:30:00 PM
Erode,Chidhambaram,KPN Travels,245,0:6:0,2+1 : 31 A/C S.S,11:30:00 PM,05:30:00 AM
Erode (Sithode),Cherthala,Kallada Travels,307,0:7:41,SEMI SLEEPER,10:15:00 PM,05:56:00 AM
Erode (Sithode),Cherthala,Kallada Travels,307,0:7:41,Multiaxle B9R VOLVO A/C SEMI SLEEPER,06:00:00 PM,01:41:00 AM
Erode (Sithode),Attingal,Kallada Travels,449,0:11:14,Multiaxle B9R VOLVO A/C SEMI SLEEPER,06:00:00 PM,05:14:00 AM
Erode (Sithode),Attingal,Kallada Travels,449,0:11:14,SEMI SLEEPER,10:15:00 PM,09:29:00 AM
Erode,Hosur,KPN Travels,140,0:3:30,2+2 VOLVO A/C(MULTI AXLE) : 44,09:30:00 AM,01:00:00 PM
Erode (Sithode),Hosur,Kallada Travels,199,0:4:59,Multiaxle B9R VOLVO A/C SEMI SLEEPER,08:00:00 AM,12:59:00 PM
Erode (Sithode),Thiruvananthapuram,Kallada Travels,480,0:12:0,Multiaxle B9R VOLVO A/C SEMI SLEEPER,11:00:00 PM,11:00:00 AM
Erode (Sithode),Thiruvananthapuram,Kallada Travels,480,0:12:0,Multiaxle B9R VOLVO A/C SEMI SLEEPER,06:00:00 PM,06:00:00 AM
Erode (Sithode),Thiruvananthapuram,Kallada Travels,480,0:12:0,SEMI SLEEPER,10:15:00 PM,10:15:00 AM
Erode (Sithode),Ernakulam,Kallada Travels,283,0:7:5,SEMI SLEEPER,10:15:00 PM,05:20:00 AM
Erode (Sithode),Ernakulam,Kallada Travels,283,0:7:5,Multiaxle B9R VOLVO A/C SEMI SLEEPER,01:00:00 PM,08:05:00 PM
Erode (Sithode),Ernakulam,Kallada Travels,283,0:7:5,Multiaxle B9R VOLVO A/C SEMI SLEEPER,05:00:00 AM,12:05:00 PM
Erode (Sithode),Ernakulam,Kallada Travels,283,0:7:5,Multiaxle B9R VOLVO A/C SEMI SLEEPER,11:00:00 PM,06:05:00 AM
Erode (Sithode),Ernakulam,Kallada Travels,283,0:7:5,Multiaxle B9R VOLVO A/C SEMI SLEEPER,06:00:00 PM,01:05:00 AM
Erode,Pondicherry,KPN Travels,271,0:7:45,2+1 : 31 A/C S.S,11:30:00 PM,07:15:00 AM
Erode,Kurnool,KPN Travels,615,0:11:45,2+2 VOLVO A/C(MULTI AXLE) : 44,05:45:00 PM,05:30:00 AM
Erode (Sithode),Kurnool,Kallada Travels,615,0:15:23,Multiaxle B9R VOLVO A/C SEMI SLEEPER,08:00:00 PM,11:23:00 AM
Erode (Sithode),Kozhikode,Kallada Travels,283,0:7:5,Multiaxle B9R VOLVO A/C SEMI SLEEPER,03:20:00 AM,10:25:00 AM
Erode,Cuddlore,KPN Travels,258,0:6:30,2+1 : 31 A/C S.S,11:30:00 PM,06:00:00 AM
Erode (Sithode),Aluva,Kallada Travels,257,0:6:26,Multiaxle B9R VOLVO A/C SEMI SLEEPER,06:00:00 PM,12:26:00 AM
Erode (Sithode),Aluva,Kallada Travels,257,0:6:26,Multiaxle B9R VOLVO A/C SEMI SLEEPER,01:00:00 PM,07:26:00 PM
Erode (Sithode),Haripad,Kallada Travels,360,0:9:0,Multiaxle B9R VOLVO A/C SEMI SLEEPER,11:00:00 PM,08:00:00 AM
Erode (Sithode),Haripad,Kallada Travels,360,0:9:0,Multiaxle B9R VOLVO A/C SEMI SLEEPER,06:00:00 PM,03:00:00 AM
Erode (Sithode),Haripad,Kallada Travels,360,0:9:0,SEMI SLEEPER,10:15:00 PM,07:15:00 AM
Erode,Nagercoil,KPN Travels,431,0:9:0,2+2 : 33 S.S NON A/C,10:00:00 PM,07:00:00 AM
Erode (Sithode),Palakkad,Kallada Travels,145,0:3:38,Multiaxle B9R VOLVO A/C SEMI SLEEPER,01:00:00 PM,04:38:00 PM
Erode (Sithode),Palakkad,Kallada Travels,145,0:3:38,Multiaxle B9R VOLVO A/C SEMI SLEEPER,11:00:00 PM,02:38:00 AM
Erode (Sithode),Palakkad,Kallada Travels,145,0:3:38,Multiaxle B9R VOLVO A/C SEMI SLEEPER,06:00:00 PM,09:38:00 PM
Erode (Sithode),Kollam,Kallada Travels,417,0:10:26,Multiaxle B9R VOLVO A/C SEMI SLEEPER,11:00:00 PM,09:26:00 AM
Erode (Sithode),Kollam,Kallada Travels,417,0:10:26,SEMI SLEEPER,10:15:00 PM,08:41:00 AM
Erode (Sithode),Kollam,Kallada Travels,417,0:10:26,Multiaxle B9R VOLVO A/C SEMI SLEEPER,06:00:00 PM,04:26:00 AM
Erode (Sithode),Alleppey,Kallada Travels,328,0:8:12,Multiaxle B9R VOLVO A/C SEMI SLEEPER,06:00:00 PM,02:12:00 AM
Erode (Sithode),Alleppey,Kallada Travels,328,0:8:12,SEMI SLEEPER,10:15:00 PM,06:27:00 AM
Erode (Sithode),Kayamkulam,Kallada Travels,374,0:9:21,Multiaxle B9R VOLVO A/C SEMI SLEEPER,11:00:00 PM,08:21:00 AM
Erode (Sithode),Kayamkulam,Kallada Travels,374,0:9:21,Multiaxle B9R VOLVO A/C SEMI SLEEPER,06:00:00 PM,03:21:00 AM
Erode (Sithode),Kayamkulam,Kallada Travels,374,0:9:21,SEMI SLEEPER,10:15:00 PM,07:36:00 AM
Hingoli,Yavatmal,saini travels pvt.ltd.-NON STOP,180,0:5:0,Non A/c,10:30:00 PM,03:30:00 AM
Hingoli,Wardha,saini travels pvt.ltd.-NON STOP,249,0:6:30,Non A/c,10:30:00 PM,05:00:00 AM
Hingoli,Nagpur,saini travels pvt.ltd.-non stop,328,0:7:30,Non A/c,10:30:00 PM,06:00:00 AM
Hingoli,Nagpur,saini travels pvt.ltd.,328,0:5:0,Non A/c,11:45:00 PM,04:45:00 AM
Hingoli,Nagpur,saini travels pvt.ltd.,328,0:5:0,A/c,10:45:00 PM,03:45:00 AM
Hingoli,Nagpur,saini travels pvt.ltd.,328,0:6:30,Non A/c,11:55:00 PM,06:25:00 AM
Hingoli,Washim,saini travels pvt.ltd.,45,0:2:30,Non A/c,11:45:00 PM,02:15:00 AM
Hingoli,Karanja,saini travels pvt.ltd.,120,0:3:0,A/c,10:45:00 PM,01:45:00 AM
Hingoli,Karanja,saini travels pvt.ltd.-non stop,90,0:2:15,Non A/c,10:30:00 PM,12:45:00 AM
Hingoli,Karanja,saini travels pvt.ltd.,120,0:3:0,Non A/c,11:45:00 PM,02:45:00 AM
Ranny,Krishnagiri,Kallada Travels,514,0:12:51,SEMI SLEEPER CUM SLEEPER,02:15:00 PM,03:06:00 AM
Ranny,Kumily,Kallada Travels,97,0:2:26,Multiaxle B9R VOLVO A/C SEMI SLEEPER,05:15:00 PM,07:41:00 PM
Ranny,Bangalore,Kallada Travels,604,0:15:6,Multiaxle B9R VOLVO A/C SEMI SLEEPER,05:15:00 PM,08:21:00 AM
Ranny,Bangalore,Kallada Travels,604,0:15:6,SEMI SLEEPER CUM SLEEPER,02:15:00 PM,05:21:00 AM
Ranny,Dindigal,Kallada Travels,238,0:5:57,Multiaxle B9R VOLVO A/C SEMI SLEEPER,05:15:00 PM,11:12:00 PM
Ranny,Chennai,Kallada Travels,662,0:16:33,Multiaxle B9R VOLVO A/C SEMI SLEEPER,05:15:00 PM,09:48:00 AM
Ranny,Theni,Kallada Travels,160,0:4:0,Multiaxle B9R VOLVO A/C SEMI SLEEPER,05:15:00 PM,09:15:00 PM
Ranny,Dharmapuri,Kallada Travels,468,0:11:42,SEMI SLEEPER CUM SLEEPER,02:15:00 PM,01:57:00 AM
Ranny,Cumbum,Kallada Travels,121,0:3:2,Multiaxle B9R VOLVO A/C SEMI SLEEPER,05:15:00 PM,08:17:00 PM
Palavancha,Hyderabad,SVR Tours &  Travels,275,0:7:30,Volvo Semi Sleeper,10:30:00 PM,06:00:00 AM
Palavancha,Hyderabad,Sree Kaleswari Travels,275,0:7:15,ISUZU,10:15:00 PM,05:30:00 AM
Dhule,Akola,Baba Travels,272,0:6:48,Sleeper-A/C,07:30:00 PM,02:18:00 AM
Dhule,Akola,saini travels pvt.ltd.-saini simba-2x1,272,0:6:0,A/c,07:30:00 PM,01:30:00 AM
Dhule,Sendhwa,Shrinath Travel Agency Nasik,102,0:4:0,Non A/c,12:00:00 AM,04:00:00 AM
Dhule,Pune,shri sairam travels,363,0:9:0,Non A/c,09:45:00 PM,06:45:00 AM
Dhule,Pune,arihant intercity travels pvt ltd,363,0:6:0,A/c,11:45:00 PM,05:45:00 AM
Dhule,Pune,shri sairam travels,363,0:8:0,A/c,09:15:00 PM,05:15:00 AM
Dhule,Pune,shri sairam travels,363,0:9:5,A/c,09:00:00 PM,06:05:00 AM
Dhule,Pune,Shri Sairam Travels,363,0:9:5,A/c,09:00:00 PM,06:05:00 AM
Dhule,Pune,shri sairam travels,363,0:9:5,A/c,09:30:00 PM,06:35:00 AM
Dhule,Mumbai,arihant intercity travels pvt ltd-a/c volvo sleeper,322,0:7:0,Volvo  A/c,11:25:00 PM,06:25:00 AM
Dhule,Mumbai,Raja Travels (Neeta),322,0:8:30,Luxury Non A/C,10:30:00 PM,07:00:00 AM
Dhule,Mumbai,Dolphin Travel House,322,0:8:15,Luxury,09:45:00 PM,06:00:00 AM
Dhule,Nagpur,saini travels pvt.ltd.-saini simba-2x1,518,0:11:0,A/c,07:30:00 PM,06:30:00 AM
Dhule,Nagpur,Baba Travels,518,0:12:57,Sleeper-A/C,07:30:00 PM,08:27:00 AM
Dhule,Amaravati,Baba Travels,366,0:9:9,Sleeper-A/C,07:30:00 PM,04:39:00 AM
Dhule,Nasik,Raja Travels (Neeta),160,0:4:0,Luxury Non A/C,10:30:00 PM,02:30:00 AM
Dhule,Nasik,Dolphin Travel House,160,0:4:0,Luxury,09:45:00 PM,01:45:00 AM
Dhule,Indore,Shrinath Travel Agency Nasik,255,0:6:30,Non A/c,12:00:00 AM,06:30:00 AM
Dhule,Sangamner,shri sairam travels,221,0:5:32,A/c,09:15:00 PM,02:47:00 AM
